unique_id,name,theme,entity,type,investment,lga,feature_type,lat,long,description
SW_001,"$3.8 billion to transform our mental health system, building the system from the ground up",Mental Health,Department of Health,Mental Health and Wellbeing,$3.8 billion,,Statewide,,,
SW_002,"$3.7 billion to meet demand for hospital services, including more emergency department staff, extra highly specialised therapies, and support for new wards as they open",Health,Department of Health,Acute Health Services,$3.7 billion,,Statewide,,,
SW_003,"$3.2 billion for public transport services and infrastructure, including $986 million to build 25 new X'Trapolis 2.0 trains and supporting infrastructure for our metropolitan network, and $613 million to support the reliability of V/Line train services and maintain the regional rail network",Public Transport,Department of Transport,Train Services,$3.2 billion,,Statewide,,,
SW_004,"$1.6 billion for school infrastructure, including upgrades at 52 schools, building 13 new schools and additional stages at three further schools, and expanding six more across the state",Education,Department of Education,School Education,$1.6 billion,,Statewide,,,
SW_005,$1.3 billion to continue our state’s public health response to the pandemic,Health,Department of Health,Public Health,$1.3 billion,,Statewide,,,
SW_006,"$1.2 billion to support children and families, including an expansion of the child protection workforce and out-of-home care placements and help for vulnerable Victorian families",Strong Communities,"Department of Families, Fairness and Housing",Child Protection and Family Services,$1.2 billion,,Statewide,,,
SW_008,"$788 million to reduce the impact of bushfires on Victorian communities, the economy and the environment",Strong Communities,"Department of Environment, Land, Water and Planning",Fire and Emergency Management,$788 million,,Statewide,,,
SW_009,"$759 million in funding for more paramedics, more triage care and support staff for Ambulance Victoria, as well as targeted funding to improve flow in our busy emergency departments and open new beds across the state as part of our $3.7 billion support for increased hospital demand",Emergency Services,Department of Health,Ambulance Services,$759 million,,Statewide,,,
SW_009.1,"$716 million for school programs and support for our teaching workforce, including $148 million to establish the Victorian Academy of Teaching and Leadership, dedicated to the professional learning and development of Victorian teachers",Education,Department of Education,School Education,$716 million,,Statewide,,,
SW_010,$556 million to build and expand 10 community hospitals,Health,Department of Health,Acute Health Services,$556 million,,Statewide,,,
SW_011,"$386 million for a new Road Safety Strategy to develop new safety technologies, deliver infrastructure upgrades, and other improvements helping to keep Victorians safe",Roads,Department of Transport,Road Operations,$386 million,,Statewide,,,
SW_012,$354 million to support victim survivors and address family violence,Strong Communities,"Department of Families, Fairness and Housing",Family Violence Service Delivery,$354 million,,Statewide,,,
SW_013,"$288 million to boost our creative sector - supporting jobs, developing homegrown talent and promoting our people and content to the world",Arts,"Department of Jobs, Precincts and Regions",Creative Industries,$288 million,,Statewide,,,
SW_014,"$265 million to plan, upgrade and maintain suburban, rural and regional roads, ensuring a safe and reliable journey for local communities",Roads,Department of Transport,Road Operations,$265 million,,Statewide,,,
SW_015,"$252 million to provide housing support, including targeted initiatives to address homelessness",Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$252 million,,Statewide,,,
SW_016,"$250 million to protect and preserve our natural environment, including support for volunteers and local community organisations to help conserve our native species and their habitats",Environment and Parkland,"Department of Environment, Land, Water and Planning",Environment and Biodiversity,$250 million,,Statewide,,,
SW_017,"$167 million to continue the roll out of universal three-year-old kindergarten, covering the whole state in 2022",Education,Department of Education,Early Childhood Education,$167 million,,Statewide,,,
SW_018,$160 million to support Victoria’s tourism sector to drive visitation and employment,Strong Communities,"Department of Jobs, Precincts and Regions",Tourism and Major Events,$160 million,,Statewide,,,
SW_021,$107 million to help drive economic activity and revitalise Melbourne’s central business district,Strong Communities,"Department of Jobs, Precincts and Regions","Industry, Innovation, Medical Research and Small Business",$107 million,,Statewide,,,
SW_022,$86 million to establish the Victorian Skills Authority to champion and strengthen the vocational education and training sector,Education,Department of Education,"Training, Higher Education and Workforce Development",$86 million,,Statewide,,,
SW_023,$70 million to establish public in-vitro fertilisation services to help people who want to become parents achieve their dreams,Health,Department of Health,Acute Health Services,$70 million,,Statewide,,,
SW_024,$50 million to support establishing Victoria’s capability to manufacture mRNA vaccines,Health,"Department of Jobs, Precincts and Regions","Industry, Innovation, Medical Research and Small Business",$50 million,,Statewide,,,
S_0001,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Casey (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0002,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Wyndham (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0003,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Melton (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0004,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Hume (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0005,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Cardinia (S),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0006,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Cardinia (S),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0007,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Wyndham (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0008,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Wyndham (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0009,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Mitchell (S),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0010,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Casey (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0011,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Casey (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0012,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Port Phillip (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0013,Land acquisition for new schools,Education,Department of Education,Land Acquisition,$276 million*,Wyndham (C),LGA,,,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
S_0014,Camms Road Primary School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Casey (C),Point,-38.102289,145.253646,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
S_0015,Hayes Hill Primary School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Whittlesea (C),Point,-37.542038,144.96341,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
S_0016,Holyoake Parade Primary School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Wyndham (C),Point,-37.873511,144.582239,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
S_0017,Lollypop Creek Primary School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Wyndham (C),Point,-37.898964,144.664461,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
S_0018,Merrifield West Secondary School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Hume (C),Point,-37.561574,144.873893,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
S_0019,Mount Ridley Special School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Hume (C),Point,-37.594294,144.933873,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
S_0020,Officer Rix Road Primary School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Cardinia (S),Point,-38.061215,145.414642,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
S_0021,Riverdale East Primary School (Interim Name),Education,Department of Education,New schools construction,$492 million*,Wyndham (C),Point,-37.833949,144.690975,"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at three recently-opened schools"
